ID	Feature_short	Feature
GB068	AdjPredV	Do core adjectives (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?
GB069	AdjAttrV	Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?
GB070	NCoreCase	Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?
GB071	PronCoreCase	Are there morphological cases for pronominal core arguments (i.e. S/A/P)?
GB072	NOblCase	Are there morphological cases for oblique non-pronominal NPs (i.e. not S/A/P)?
GB073	PronOblCase	Are there morphological cases for oblique independent personal pronouns (i.e. not S/A/P)?
GB074	Prep	Are there prepositions?
GB075	Postp	Are there postpositions?
GB079	PrefVerb	Do verbs have prefixes/proclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?
GB080	SuffVerb	Do verbs have suffixes/enclitics, other than those that ONLY mark A, S or O (do include portmanteau: A & S + TAM)?
GB081	InfixVerb	Is there productive infixation in verbs?
GB082	PrsVerb	Is there overt morphological marking of present tense on verbs?
GB083	PstVerb	Is there overt morphological marking on the verb dedicated to past tense?
GB084	FutVerb	Is there overt morphological marking on the verb dedicated to future tense?
GB086	PfvIpfv	Is a morphological distinction between perfective and imperfective aspect available on verbs?
GB089	SSuffVerb	Can the S argument be indexed by a suffix/enclitic on the verb in the simple main clause?
GB090	SPrefVerb	Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?
GB091	ASuffVerb	Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?
GB092	APrefVerb	Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?
GB093	PSuffVerb	Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?
GB094	PPrefVerb	Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?
GB095	VarTam	Are variations in marking strategies of core participants based on TAM distinctions?
GB096	VarVClass	Are variations in marking strategies of core participants based on verb classes?
GB098	VarPrs	Are variations in marking strategies of core participants based on person distinctions?
GB099	SupplPrsVerb	Can verb stems alter according to the person of a core participant?
GB103	BenApplVerb	Is there a benefactive applicative marker on the verb (including indexing)?
GB104	InstrAppVerb	Is there an instrumental applicative marker on the verb (including indexing)?
GB105	RecPatient	Can the recipient in a ditransitive construction be marked like the monotransitive patient?
GB107	NegVerb	Can standard negation be marked by an affix, clitic or modification of the verb?
GB108	DirLocVerb	Is there directional or locative morphological marking on verbs?
GB109	SupplNumVerb	Is there verb suppletion for participant number?
GB110	SupplTAVerb	Is there verb suppletion for tense or aspect?
GB111	ConjClass	Are there conjugation classes?
GB113	Transit	Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?
GB114	ReflVerb	Is there a phonologically bound reflexive marker on the verb?
GB115	RecipVerb	Is there a phonologically bound reciprocal marker on the verb?
GB116	ClassVerb	Do verbs classify the shape, size or consistency of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?
GB117	CopPredNom	Is there a copula for predicate nominals?
GB118	SVC	Are there serial verb constructions?
GB119	MoodAux	Can mood be marked by an inflecting word ("auxiliary verb")?
GB120	AspectAux	Can aspect be marked by an inflecting word ("auxiliary verb")?
GB121	TenseAux	Can tense be marked by an inflecting word ("auxiliary verb")?
GB122	VerbComp	Is verb compounding a regular process?
GB123	LightVerbs	Are there verb-adjunct (aka light-verb) constructions?
GB124	IncorpIntr	Is incorporation of nouns into verbs a productive intransitivizing process?
GB126	ExistVerb	Is there an existential verb?
GB127	PostureVerb	Are different posture verbs used obligatorily depending on an inanimate locatum's shape or position (e.g. 'to lie' vs. 'to stand')?
GB129	FewVerbs	Is there a notably small number, i.e. about 100 or less, of verb roots in the language?
GB130	OrderSV	What is the pragmatically unmarked order of S and V in intransitive clauses?
GB131	OrderVInit	Is a pragmatically unmarked constituent order verb-initial for transitive clauses?
GB132	OrderVMed	Is a pragmatically unmarked constituent order verb-medial for transitive clauses?
GB133	OrderVFin	Is a pragmatically unmarked constituent order verb-final for transitive clauses?
GB134	OrderMainSub	Is the order of constituents the same in main and subordinate clauses?
GB135	ClausObjNObj	Do clausal objects usually occur in the same position as nominal objects?
GB136	OrderCorArgFix	Is the order of core argument (i.e. S/A/P) constituents fixed?
GB137	NegFin	Can standard negation be marked clause-finally?
GB138	NegInit	Can standard negation be marked clause-initially?
GB139	ProhDeclNeg	Is there a difference between imperative (prohibitive) and declarative negation constructions?
GB140	NegLocExNom	Is verbal predication marked by the same negator as all of the following types of predication: locational, existential and nominal?
GB146	CtrlEvents	Is there a morpho-syntactic distinction between predicates expressing controlled versus uncontrolled events or states?
GB147	Passive	Is there a morphological passive marked on the lexical verb?
GB148	Antipassive	Is there a morphological antipassive marked on the lexical verb?
GB149	Inverse	Is there a morphologically marked inverse on verbs?
GB150	ClauseChain	Is there clause chaining?
GB151	CorefVerb	Is there an overt verb marker dedicated to signalling coreference or noncoreference between the subject of one clause and an argument of an adjacent clause ("switch reference")?
GB152	SimSeqClaus	Is there a morphologically marked distinction between simultaneous and sequential clauses?
GB155	CausAffix	Are causatives formed by affixes or clitics on verbs?
GB156	CausSay	Is there a causative construction involving an element that is unmistakably grammaticalized from a verb for 'to say'?
GB158	RdplVerb	Are verbs reduplicated?
GB159	RdplNoun	Are nouns reduplicated?
GB160	RdplOther	Are elements apart from verbs or nouns reduplicated?
GB165	TrialNumN	Is there productive morphological trial marking on nouns?
GB166	PaucNumN	Is there productive morphological paucal marking on nouns?
GB167	LogophPro	Is there a logophoric pronoun?
GB170	AdjGenderAgr	Can an adnominal property word agree with the noun in gender/noun class?
GB171	DemGenderAgr	Can an adnominal demonstrative agree with the noun in gender/noun class?
GB172	ArtGenderAgr	Can an article agree with the noun in gender/noun class?
GB177	AnimVerb	Can the verb carry a marker of animacy of argument, unrelated to any gender/noun class of the argument visible in the NP domain?
GB184	AdjNumAgr	Can an adnominal property word agree with the noun in number?
GB185	DemNumAgr	Can an adnominal demonstrative agree with the noun in number?
GB186	ArtNumAgr	Can an article agree with the noun in number?
GB187	DimN	Is there any productive diminutive marking on the noun (exclude marking by system of nominal classification only)?
GB188	AugN	Is there any productive augmentative marking on the noun (exclude marking by system of nominal classification only)?
GB192	ClassPhon	Is there a gender system where a noun's phonological properties are a factor in class assignment?
GB193	OrderAdjN	What is the order of adnominal property word and noun?
GB196	PPron2	Is there a male/female distinction in 2nd person independent pronouns?
GB197	fmPron1	Is there a male/female distinction in 1st person independent pronouns?
GB198	NumNAgr	Can an adnominal numeral agree with the noun in gender/noun class?
GB203	OrderAllN	What is the order of the adnominal collective universal quantifier ('all') and the noun?
GB204	AllEvery	Do collective ('all') and distributive ('every') universal quantifiers differ in their forms or their syntactic positions?
GB250	PredPossHab	Can predicative possession be expressed with a transitive 'habeo' verb?
GB252	PredPossLoc	Can predicative possession be expressed with an S-like possessum and a locative-coded possessor?
GB253	PredPossDat	Can predicative possession be expressed with an S-like possessum and a dative-coded possessor?
GB254	PredPossAdn	Can predicative possession be expressed with an S-like possessum and a possessor that is coded like an adnominal possessor?
GB256	PredPossCom	Can predicative possession be expressed with an S-like possessor and a possessum that is coded like a comitative argument?
GB257	QIntonation	Can polar interrogation be marked by intonation only?
GB260	QWordOrder	Can polar interrogation be indicated by a special word order?
GB262	InterPtclInit	Is there a clause-initial polar interrogative particle?
GB263	InterPtclFin	Is there a clause-final polar interrogative particle?
GB264	InterPtclMid	Is there a polar interrogative particle that most commonly occurs neither clause-initially nor clause-finally?
GB265	CompSurpass	Is there a comparative construction that includes a form that elsewhere means 'surpass, exceed'?
GB266	CompLoc	Is there a comparative construction that employs a marker of the standard which elsewhere has a locational meaning?
GB270	CompConj	Can comparatives be expressed using two conjoined clauses?
GB273	CompThan	Is there a comparative construction with a standard marker that elsewhere has neither a locational meaning nor a 'surpass/exceed' meaning?
GB275	CompMarkAdj	Is there a bound comparative degree marker on the property word in a comparative construction?
GB276	CompMarkFree	Is there a non-bound comparative degree marker modifying the property word in a comparative construction?
GB285	InterPtclVerbM	Can polar interrogation be marked by a question particle and verbal morphology?
GB286	InterVerbM	Can polar interrogation be indicated by overt verbal morphology only?
GB291	InterTone	Can polar interrogation be marked by tone?
GB296	Ideophones	Is there a phonologically or morphosyntactically definable class of ideophones that includes ideophones depicting imagery beyond sound?
GB297	InterVnotV	Can polar interrogation be indicated by a V-not-V construction?
GB298	NegAuxV	Can standard negation be marked by an inflecting word ("auxiliary verb")?
GB299	NegAuxPtcl	Can standard negation be marked by a non-inflecting word ("auxiliary particle")?
GB300	SupplGive	Does the verb for 'give' have suppletive verb forms?
GB301	InclusoryConstr	Is there an inclusory construction?
GB302	PassPtcl	Is there a phonologically free passive marker ('particle' or 'auxiliary')?
GB303	AntipassPtcl	Is there a phonologically free antipassive marker ('particle' or 'auxiliary')?
GB304	PassAgentOvert	Can the agent be expressed overtly in a passive clause?
GB305	ReflPron	Is there a phonologically independent reflexive pronoun?
GB306	Non2PRecipPron	Is there a phonologically independent non-bipartite reciprocal pronoun?
GB309	MultiplePstFut	Are there multiple past or multiple future tenses, distinguishing distance from Time of Reference?
GB312	MoodV	Is there overt morphological marking on the verb dedicated to mood?
GB313	PossPron	Are there special adnominal possessive pronouns that are not formed by an otherwise regular process?
GB314	ClassAug	Can augmentative meaning be expressed productively by a shift of gender/noun class?
GB315	ClassDim	Can diminutive meaning be expressed productively by a shift of gender/noun class?
GB316	SGFree	Is singular number regularly marked in the noun phrase by a dedicated phonologically free element?
GB317	DualFree	Is dual number regularly marked in the noun phrase by a dedicated phonologically free element?
GB318	PluralFree	Is plural number regularly marked in the noun phrase by a dedicated phonologically free element?
GB319	TrialFree	Is trial number regularly marked in the noun phrase by a dedicated phonologically free element?
GB320	PaucFree	Is paucal number regularly marked in the noun phrase by a dedicated phonologically free element?
GB321	ClassUnpred	Is there a large class of nouns whose gender/noun class is not phonologically or semantically predictable?
GB322	DirEvid	Is there grammatical marking of direct evidence (perceived with the senses)?
GB323	IndirEvid	Is there grammatical marking of indirect evidence (hearsay, inference, etc.)?
GB324	DoWhat	Is there an interrogative verb for content interrogatives (who?, what?, etc.)?
GB325	HowMuchMany	Is there a count/mass distinction in interrogative quantifiers?
GB326	ContInterInSitu	Do (nominal) content interrogatives normally or frequently occur in situ?
GB327	NRelatCl	Can the relative clause follow the noun?
GB328	RelatClNoun	Can the relative clause precede the noun?
GB329	InterHeadRelCl	Are there internally-headed relative clauses?
GB330	CorrelatRelCl	Are there correlative relative clauses?
GB331	AdjRelCl	Are there adjoined relative clauses?
GB333	DecimalNS	Is there a decimal numeral system?
GB334	QuinaryNS	Is there synchronic evidence for any element of a quinary numeral system?
GB335	VigesimalNS	Is there synchronic evidence for any element of a vigesimal numeral system?
GB336	BodypartTL	Is there a body-part tallying system?
GB400	PersonNeutral	Are all person categories neutralized in some voice, tense, aspect, mood and/or negation?
GB401	PatientlabV	Is there a class of patient-labile verbs?
GB402	SupplSee	Does the verb for 'see' have suppletive verb forms?
GB403	SupplCome	Does the verb for 'come' have suppletive verb forms?
GB408	AccAlignment	Is there any accusative alignment of flagging?
GB409	ErgAlignment	Is there any ergative alignment of flagging?
GB410	NeutAlignment	Is there any neutral alignment of flagging?
GB415	Polite2Prs	Is there a politeness distinction in 2nd person forms?
GB421	ComplPrep	Is there a preposed complementizer in complements of verbs of thinking and/or knowing?
GB422	ComplPostp	Is there a postposed complementizer in complements of verbs of thinking and/or knowing?
GB430	PrfPossessor	Can adnominal possession be marked by a prefix on the possessor?
GB431	PrfPossessed	Can adnominal possession be marked by a prefix on the possessed noun?
GB432	SuffPossessor	Can adnominal possession be marked by a suffix on the possessor?
GB433	SuffPossessed	Can adnominal possession be marked by a suffix on the possessed noun?
GB519	AuxPtclMood	Can mood be marked by a non-inflecting word ("auxiliary particle")?
GB520	AuxPtclAspect	Can aspect be marked by a non-inflecting word ("auxiliary particle")?
GB521	AuxPtclTense	Can tense be marked by a non-inflecting word ("auxiliary particle")?
GB522	Prodrop	Can the S or A argument be omitted from a pragmatically unmarked clause when the referent is inferrable from context ("pro-drop" or "null anaphora")?
TE001	PolysyllRoot	Is root structure predominantly polysyllabic?
TE002	NoTonalDist	Are complex tonal distinctions lacking?
TE003	VHPalat	Is there palatal vowel harmony?
TE004	VHTongueRoot	Is there tongue root vowel harmony?
TE005	InitVelarNasal	Is there an initial velar nasal?
TE006	InitR	Is there an initial r-?
TE007	ConsClusters	Are there initial consonant clusters in native words?
TE008	VoicDistStops	Is there a voicing distinction in stops?
TE009	LightVerbsBorr	Are borrowed verbs accommodated through a light-verb or a verbalizer?
TE012	AdjVerbNom	Are property words verbally or nominally encoded?
TE014	EmphRdplAdj	Is there partial emphatic reduplication of nominal property words?
TE015	Agglutinative	Are morphemes connected linearly in a way that there is a one on one relationship between a morpheme and its meaning?
TE016	SuffixalMorph	Is inflectional morphology predominantly suffixing?
TE018	MiTiDistPrsPron	Is there a mi-ti opposition in 1 vs. 2 SG personal pronouns?
TE019	OblStemWithN	Is the secondary oblique stem of personal pronouns formed with a dental nasal?
TE022	AdvSubordGer	Are gerunds or adverbial participles used to mark adverbial subordination?
TE025	FinNonFinIdent	Are specific non-finite and finite suffixes expressed by a formally identical suffix?
TE026	NegVNegSuffId	Are specific negative verbs and negative suffixes/particles expressed by a formally identical suffix?
TE027	PlPlusCollectPl	Can 1PL marker be augmented by a collective plural marker?
TE028	AdjNPred	Do core adjectives (defined semantically as property concepts such as value, shape, age, dimension) act like nouns in predicative position?
TE029	AdjNAttr	Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as nouns?
TE031	NonInVelarNasal	Is there a non-initial velar nasal?
TE033	RecipReflDist	Is there a reciprocal marker that is distinct from the reflexive marker?
TE034	DerankedPCl	Are there deranked purpose clauses?
TE036	SubjWant	Can the notional subject of a want complement clause be left implicit when it is coreferential with the wanter?
TE037	VoicDistFricat	Is there a voicing distinction in fricatives?
TE038	DistinctionLR	Are there two separate liquid phonemes (r/l)?
TE039	VowelLength	Is there vowel length distinction?
TE040	DerivCausPostV	Are causative posture verbs derived and static-dynamic verbs basic?
TE041	SiblFM	Is there a male/female distinction in the sibling terms from the perspective of the speaker?
TE042	AgeDistSibl	Is there an age distinction in sibling terms?
TE043	NounsDerVerbs	Are nouns most commonly derived from verbs than the other way around?
TE044	HandArm	Are ‘hand’ and ‘arm’ expressed by the same term?
TE045	MoonMonth	Are ‘moon’ and ‘month’ expressed by the same term?
TE046	PluralAnim	Is there a plural/collective suffix that is restricted to animates?
TE047	EvenAlso	Can scalar additive operators (‘even’) also be used in non-scalar contexts (also)?
TE048	ReflPossAff	Is there a reflexive-possessive affix?
TE049	DemVerb	Are demonstratives verbally encoded?
TE050	PlNounAfterNum	Do cardinal numerals require agreement on noun phrases?
TE051	NomUnmarked	Is nominative case unmarked?
TE052	AccObjSpecific	Are accusative-marked objects specific while unmarked objects are non-specific?
TE053	RecipLocSame	Are recipient and location expressed by the same marker?
TE054	PolarContInterr	Is there a distinction between marking of interrogation in polar and content questions?
TE055	PassAgentDat	Is acting agent in passive clause expressed by a dative-marked noun phrase?
TE056	SBJAdnGen	Is the subject of an adnominalized clause marked by the genitive case?
TE057	PassAdvers	Can a passive construction have adversative meaning?
TE058	DemInterrToDo	Can demonstrative/interrogative verbs be derived from pronouns and light verbs ‘to do’?
TE059	CausPassSame	Are causative and passive expressed by a formally identical marker?
TE060	ConverbDeverb	Are converb suffixes and deverbal noun suffixes formally identical?
TE061	QuotSay	Are quotative markers adverbial derivations from a verb ‘to say’?
TE062	BottomLoc	Can relational adpositions (e.g. ‘under’) be derived from a place noun (e.g. ‘bottom’) and a locational suffix (e.g. at LOC)?
TE063	ConvSay	Are hortatives/purposives encoded by the same marker (eventually involving a converb of the verb ‘to say’)?
TE064	DenomVBLZ	Are denominal verbalizers and deverbal suffixes sharing comparable actional semantics expressed by the same marker?
TE065	Itisbecoming	Is ‘it is becoming if’ grammaticalized in deontic modality?
TE066	VRoot2SGImper	Is imperative form for 2SG identical to bare verb root?
TE067	VPrsIdentPrsPron	Is person marking on the verb formally identical to independent personal pronouns?
TE068	CompSee	Is there a comparative construction that employs a marker of the standard which elsewhere has a meaning ‘to see’?
TE069	CopulaPostV	Can a copula be derived from original posture verbs?
TE070	SubjWant	Can the notional subject of a want complement clause be expressed overtly when it is coreferential with the wanter?
TE071	FootLeg	Are ‘foot’ and ‘leg’ expressed by the same term?
TE072	BalancedPurpCl	Are there balanced purpose clauses?
TE073	AdposVerb	Is there an adposition or a particle formally similar to the verb?
TE074	ComplPutThrow	Is completive aspect expressed by a marker formally identical to the verb ’to put/throw away’?
TE076	AdposCoreNP	Are there adpositions to mark core NPs?
TE077	AdposOblNP	Are there adpositions to mark oblique NPs?
TE078	Stops3LarContr	Are there three laryngeal contrasts for stops?
TS001	NumNoun	Can numeral precede the noun?
TS002	NounNum	Can numeral follow the noun?
TS003	DemN	Can demonstrative precede the noun?
TS004	NounDem	Can demonstrative follow the noun?
TS005	PossPossessed	Can adnominal possessor precede the possessed noun?
TS006	PossessedPoss	Can adnominal possessor follow the possessed noun?
TS007	AdjNoun	Can adnominal property word precede the noun?
TS008	NounAdj	Can adnominal property word follow the noun?
TS009	AllNoun	Can adnominal collective universal quantifier (‘all’) precede the noun?
TS010	NounAll	Can adnominal collective universal quantifier (‘all’) follow the noun?
TS079	VHheight	Is there height vowel harmony?
TS080	VHLabial	Is there labial vowel harmony?
TS081	InitialL	Is there an initial l-?
TS082	NumAttrPred	Do numerals have the same form in attributive and predicative use?
TS083	InstCom	Are instrumental and comitative expressed by the same marker?
TS083	Hunt	Is the meaning ‘to hunt’ expressed as noun+denominalizer?
TS084	TrySee	Are the meanings ‘to see’ and ‘to try’ expressed by formally identical verbs?
TS085	PossSuffPrf	What is the order of personal possessive suffixes and case suffixes?
TS086	SV	Is the pragmatically unmarked order of SV in intransitive clauses?
TS087	VS	Is the pragmatically unmarked order of VS in intransitive clauses?
TS088	AspiratedStops	Is there an aspiration distinction in stops?
